sgRNA_ID,drug,rep,rdiff,prop,lab
Control_033,GSK,3,1.7075565473598817,3.868710094069268e-5,NEG_CTL -1
Control_034,GSK,-1,0.29379689018352795,4.377206746559923e-5,NEG_CTL -1
Control_034,GSK,0,1.2951464284037089,4.377206746559923e-5,NEG_CTL -1
Control_034,GSK,1,2.069069901866153,2.028490102772946e-5,NEG_CTL -1
Control_034,GSK,2,-1.822419109014632,4.139450047582144e-5,NEG_CTL -1
Control_034,GSK,3,0.6347398776990627,6.963680089324678e-5,NEG_CTL -1
Control_035,GSK,-1,-1.525714018632123,7.048433373951259e-5,NEG_CTL -1
Control_035,GSK,0,1.0564578189175475,7.048433373951259e-5,NEG_CTL -1
Control_035,GSK,1,2.0049104948064755,2.7046501036972567e-5,NEG_CTL -1
Control_035,GSK,2,-7.753360239706426,1.3798199925273396e-4,NEG_CTL -1
Control_035,GSK,3,1.1713076890035814,4.642450092883125e-5,NEG_CTL -1
Control_036,GSK,-1,-1.6072806543124003,2.7485634222219615e-5,NEG_CTL -1
Control_036,GSK,0,0.8408793578624428,2.7485634222219615e-5,NEG_CTL -1
Control_036,GSK,1,1.4239961406250856,1.6904101023107905e-5,NEG_CTL -1
Control_036,GSK,2,-2.0647060631057808,2.299700070878898e-5,NEG_CTL -1
Control_036,GSK,3,-4.1811320404565055,4.2555800934761956e-5,NEG_CTL -1
Control_037,GSK,-1,-1.2841763199675096,3.466494085101223e-5,NEG_CTL -1
Control_037,GSK,0,1.1184998311254213,3.466494085101223e-5,NEG_CTL -1
Control_037,GSK,1,-3.0387127551142523,6.761621009243137e-6,NEG_CTL -1
Control_037,GSK,2,-1.7584124682071027,2.7596400650546778e-5,NEG_CTL -1
Control_037,GSK,3,0.9445962634188262,6.963680089324678e-5,NEG_CTL -1
Control_038,GSK,-1,1.5918127902650423,0.003668833521419375,NEG_CTL -1
Control_038,GSK,0,1.8670547142536287,0.003668833521419375,NEG_CTL -1
Control_038,GSK,1,2.1134056756657498,2.3665701032351013e-5,NEG_CTL -1
Control_038,GSK,2,-1.4869804313514772,0.01095575386226729,NEG_CTL -1
Control_038,GSK,3,4.149013126480854,2.7081000958484828e-5,NEG_CTL -1
Control_039,GSK,-1,1.7839273351281315,1.983903414535515e-5,NEG_CTL -1
Control_039,GSK,0,1.6479286170997594,1.983903414535515e-5,NEG_CTL -1
Control_039,GSK,1,2.3340159165718783,1.3523201018486215e-5,NEG_CTL -1
Control_039,GSK,2,-7.252519341400246,4.599390041757924e-5,NEG_CTL -1
Control_039,GSK,3,10.270285430212763,9.99999998467e-13,NEG_CTL -1
Control_040,GSK,-1,-0.20322192011462734,1.2985807533849238e-5,NEG_CTL -1
Control_040,GSK,0,0.860855223476891,1.2985807533849238e-5,NEG_CTL -1
Control_040,GSK,1,1.7294280203674768,6.761621009243137e-6,NEG_CTL -1
Control_040,GSK,2,-7.343411292750075,3.219580059230458e-5,NEG_CTL -1
Control_040,GSK,3,5.004317512038717,9.99999998467e-13,NEG_CTL -1
Control_041,GSK,-1,0.2119181811263439,3.772050086266867e-5,NEG_CTL -1
Control_041,GSK,0,1.1691842765265434,3.772050086266867e-5,NEG_CTL -1
Control_041,GSK,1,1.560969524565537,2.3665701032351013e-5,NEG_CTL -1
Control_041,GSK,2,-1.6144723158443517,2.7596400650546778e-5,NEG_CTL -1
Control_041,GSK,3,0.6892573346578463,6.189940090510822e-5,NEG_CTL -1
Control_042,GSK,-1,0.5606147171769785,5.9336233971172605e-5,NEG_CTL -1
Control_042,GSK,0,1.514492866720371,5.9336233971172605e-5,NEG_CTL -1
Control_042,GSK,1,2.0240159535780493,3.718890105083723e-5,NEG_CTL -1
Control_042,GSK,2,-1.830727171470672,8.278909995164163e-5,NEG_CTL -1
Control_042,GSK,3,1.4885553694235583,5.8030700911038944e-5,NEG_CTL -1
Control_043,GSK,-1,0.667497333491483,4.338500064595197e-5,NEG_CTL -1
Control_043,GSK,0,1.5358505969352791,4.338500064595197e-5,NEG_CTL -1
Control_043,GSK,1,2.1368283539546185,2.028490102772946e-5,NEG_CTL -1
Control_043,GSK,2,-1.9377998034259625,8.278909995164163e-5,NEG_CTL -1
Control_043,GSK,3,1.803463449945793,2.7081000958484828e-5,NEG_CTL -1
Control_044,GSK,-1,-1.1041950749655176,1.7656974227482552e-5,NEG_CTL -1
Control_044,GSK,0,1.3958464962458974,1.7656974227482552e-5,NEG_CTL -1
Control_044,GSK,1,2.199182140634269,6.761621009243137e-6,NEG_CTL -1
Control_044,GSK,2,-6.925253799652553,2.299700070878898e-5,NEG_CTL -1
Control_044,GSK,3,1.4134864341217306,2.3212300964415544e-5,NEG_CTL -1
Control_045,GSK,-1,0.30474803782465454,3.644006743218408e-5,NEG_CTL -1
Control_045,GSK,0,1.4295522425981548,3.644006743218408e-5,NEG_CTL -1
Control_045,GSK,1,2.038431662067639,2.7046501036972567e-5,NEG_CTL -1
Control_045,GSK,2,-2.2347687083275565,5.519270030109484e-5,NEG_CTL -1
Control_045,GSK,3,1.110581159733881,2.7081000958484828e-5,NEG_CTL -1
Control_046,GSK,-1,0.2827266336275523,7.544933393522052e-5,NEG_CTL -1
Control_046,GSK,0,1.263890166171556,7.544933393522052e-5,NEG_CTL -1
Control_046,GSK,1,1.5525183692195725,6.0854601083188245e-5,NEG_CTL -1
Control_046,GSK,2,-1.8417152769748506,9.198789983515722e-5,NEG_CTL -1
Control_046,GSK,3,1.137376808637935,7.350550088731608e-5,NEG_CTL -1
Control_047,GSK,-1,-0.15801851180029067,0.0011037456550716416,NEG_CTL -1
Control_047,GSK,0,0.31687171902436195,0.0011037456550716416,NEG_CTL -1
Control_047,GSK,1,1.611388514287565,1.419940011941058e-4,NEG_CTL -1
Control_047,GSK,2,-3.3358090969023486,0.0029758069633173566,NEG_CTL -1
Control_047,GSK,3,1.2503650472139116,1.9343600070346263e-4,NEG_CTL -1
Control_048,GSK,-1,2.029526672008028,2.66006764879316e-6,NEG_CTL -1
Control_048,GSK,0,2.1042035060602267,2.66006764879316e-6,NEG_CTL -1
Control_048,GSK,1,-2.917443436331123,3.380811004621569e-6,NEG_CTL -1
Control_048,GSK,2,-1.18637068647504,4.599390941757913e-6,NEG_CTL -1
Control_048,GSK,3,10.192394138830247,9.99999998467e-13,NEG_CTL -1
Control_049,GSK,-1,0.6334395938778822,3.644006743218408e-5,NEG_CTL -1
Control_049,GSK,0,1.5888210393997042,3.644006743218408e-5,NEG_CTL -1
Control_049,GSK,1,2.0279205797669557,2.7046501036972567e-5,NEG_CTL -1
Control_049,GSK,2,-1.7959221245188273,5.519270030109484e-5,NEG_CTL -1
Control_049,GSK,3,1.668320326385518,2.7081000958484828e-5,NEG_CTL -1
Control_050,GSK,-1,0.8151224151480222,2.039873755334465e-5,NEG_CTL -1
Control_050,GSK,0,1.5883292191344416,2.039873755334465e-5,NEG_CTL -1
Control_050,GSK,1,2.7709404746696604,3.380811004621569e-6,NEG_CTL -1
Control_050,GSK,2,-1.650512177952168,2.299700070878898e-5,NEG_CTL -1
Control_050,GSK,3,1.3249389487265741,3.4818400946623393e-5,NEG_CTL -1
Control_051,GSK,-1,-1.2279428734870756,1.6530037559275364e-5,NEG_CTL -1
Control_051,GSK,0,1.0975288573140485,1.6530037559275364e-5,NEG_CTL -1
Control_051,GSK,1,2.267822355506412,3.380811004621569e-6,NEG_CTL -1
Control_051,GSK,2,-2.0792481861822947,2.299700070878898e-5,NEG_CTL -1
Control_051,GSK,3,-3.8724027897853444,2.3212300964415544e-5,NEG_CTL -1
Control_052,GSK,-1,-1.494015725050467,2.4743067538702184e-5,NEG_CTL -1
Control_052,GSK,0,0.9435354586878755,2.4743067538702184e-5,NEG_CTL -1
Control_052,GSK,1,1.1571044359456595,3.042730104159412e-5,NEG_CTL -1
Control_052,GSK,2,-2.1975648156793506,3.219580059230458e-5,NEG_CTL -1
Control_052,GSK,3,-3.4415867954177104,1.1606100982207848e-5,NEG_CTL -1
Control_053,GSK,-1,-0.3067651267479232,8.580582352079724e-4,NEG_CTL -1
Control_053,GSK,0,-0.2535827693980588,8.580582352079724e-4,NEG_CTL -1
Control_053,GSK,1,-0.5814206455967903,0.0024950390044107184,NEG_CTL -1
Control_053,GSK,2,-2.2214227350730638,5.979210024285264e-5,NEG_CTL -1
Control_053,GSK,3,1.8825480004260844,1.934360097034626e-5,NEG_CTL -1
Control_054,GSK,-1,0.6189577164961523,3.3789934041917756e-5,NEG_CTL -1
Control_054,GSK,0,1.5266151892220257,3.3789934041917756e-5,NEG_CTL -1
Control_054,GSK,1,2.2599289107699554,1.6904101023107905e-5,NEG_CTL -1
Control_054,GSK,2,-2.0457494405519143,6.899090012636823e-5,NEG_CTL -1
Control_054,GSK,3,1.6426936792704159,1.547480097627713e-5,NEG_CTL -1
Control_055,GSK,-1,0.08607228850882047,4.346593396536557e-5,NEG_CTL -1
Control_055,GSK,0,0.9547982738293179,4.346593396536557e-5,NEG_CTL -1
Control_055,GSK,1,1.3562455730157579,2.3665701032351013e-5,NEG_CTL -1
Control_055,GSK,2,-2.6650056231770427,8.738849989339943e-5,NEG_CTL -1
Control_055,GSK,3,1.5669769156877462,1.934360097034626e-5,NEG_CTL -1
Control_056,GSK,-1,0.2983588036809841,3.0470167506322924e-5,NEG_CTL -1
Control_056,GSK,0,1.4866617405329445,3.0470167506322924e-5,NEG_CTL -1
Control_056,GSK,1,2.087012190253776,2.3665701032351013e-5,NEG_CTL -1
Control_056,GSK,2,-2.2404344779099072,3.679510053406365e-5,NEG_CTL -1
Control_056,GSK,3,1.0484986986990836,3.094970095255411e-5,NEG_CTL -1
Control_057,GSK,-1,0.5622860283432447,5.3458000647573834e-5,NEG_CTL -1
Control_057,GSK,0,1.5101522662200975,5.3458000647573834e-5,NEG_CTL -1
Control_057,GSK,1,2.382836833166542,2.028490102772946e-5,NEG_CTL -1
Control_057,GSK,2,-1.915354178463929,7.818970000988383e-5,NEG_CTL -1
Control_057,GSK,3,1.219375430327121,6.189940090510822e-5,NEG_CTL -1
Control_058,GSK,-1,1.0414864188287551,2.2427203230096436e-4,NEG_CTL -1
Control_058,GSK,0,2.10583474233745,2.2427203230096436e-4,NEG_CTL -1
Control_058,GSK,1,1.4892427710408223,1.419940011941058e-4,NEG_CTL -1
Control_058,GSK,2,-1.0925755655748788,4.921349947680946e-4,NEG_CTL -1
Control_058,GSK,3,2.727792051020322,3.868710094069268e-5,NEG_CTL -1
Control_059,GSK,-1,0.8059974840100238,1.1128170917953533e-5,NEG_CTL -1
Control_059,GSK,0,1.683687413151002,1.1128170917953533e-5,NEG_CTL -1
Control_059,GSK,1,2.2781648023105774,3.380811004621569e-6,NEG_CTL -1
Control_059,GSK,2,-1.5836922796904116,1.839760076703118e-5,NEG_CTL -1
Control_059,GSK,3,1.7235199294099055,1.1606100982207848e-5,NEG_CTL -1
Control_060,GSK,-1,0.39829647933492146,6.329506718552647e-5,NEG_CTL -1
Control_060,GSK,0,1.3003429256282484,6.329506718552647e-5,NEG_CTL -1
Control_060,GSK,1,1.685652530368513,4.395050106008034e-5,NEG_CTL -1
Control_060,GSK,2,-2.286968358098377,1.1498499954394495e-4,NEG_CTL -1
Control_060,GSK,3,1.7962052657346284,3.094970095255411e-5,NEG_CTL -1
Control_061,GSK,-1,0.2939516840715397,2.4104067526609343e-5,NEG_CTL -1
Control_061,GSK,0,1.2808647427195285,2.4104067526609343e-5,NEG_CTL -1
Control_061,GSK,1,1.782791477201866,1.6904101023107905e-5,NEG_CTL -1
Control_061,GSK,2,-2.0205179151314243,3.219580059230458e-5,NEG_CTL -1
Control_061,GSK,3,1.1195814901441774,2.3212300964415544e-5,NEG_CTL -1
Control_062,GSK,-1,-2.462434124992964,9.838610919930427e-6,NEG_CTL -1
Control_062,GSK,0,1.779212095754891,9.838610919930427e-6,NEG_CTL -1
Control_062,GSK,1,2.869440825014051,3.380811004621569e-6,NEG_CTL -1
Control_062,GSK,2,-6.92325073557829,1.839760076703118e-5,NEG_CTL -1
Control_062,GSK,3,-3.333492464414653,7.737420988138532e-6,NEG_CTL -1
Control_063,GSK,-1,-0.7086325891738393,3.949637646816249e-6,NEG_CTL -1
Control_063,GSK,0,1.8213287312375683,3.949637646816249e-6,NEG_CTL -1
Control_063,GSK,1,-2.8819762401975413,3.380811004621569e-6,NEG_CTL -1
Control_063,GSK,2,-1.1509034903414586,4.599390941757913e-6,NEG_CTL -1
Control_063,GSK,3,1.906981963017482,3.868710994069266e-6,NEG_CTL -1
Control_064,GSK,-1,-2.1196437593390414,0.04029526112493892,NEG_CTL -1
Control_064,GSK,0,-1.016035227154633,0.04029526112493892,NEG_CTL -1
Control_064,GSK,1,-0.5594520781508159,0.03717201905181415,NEG_CTL -1
Control_064,GSK,2,-4.734907759046175,0.04947566837448961,NEG_CTL -1
Control_064,GSK,3,-1.0645714408201328,0.034238095948513,NEG_CTL -1
Control_065,GSK,-1,0.3069751219542521,2.6683200855988866e-5,NEG_CTL -1
Control_065,GSK,0,1.343906112498658,2.6683200855988866e-5,NEG_CTL -1
Control_065,GSK,1,1.9604743056394434,1.6904101023107905e-5,NEG_CTL -1
Control_065,GSK,2,-2.244157916010972,3.219580059230458e-5,NEG_CTL -1
Control_065,GSK,3,1.2046089762342849,3.094970095255411e-5,NEG_CTL -1
Control_066,GSK,-1,-0.7965116310351399,7.899277626965793e-6,NEG_CTL -1
Control_066,GSK,0,1.9755059033922884,7.899277626965793e-6,NEG_CTL -1
Control_066,GSK,1,2.52926526560797,6.761621009243137e-6,NEG_CTL -1
Control_066,GSK,2,-1.4959178541050542,9.19879088351571e-6,NEG_CTL -1
Control_066,GSK,3,-3.4228823046083354,7.737420988138532e-6,NEG_CTL -1
Control_067,GSK,-1,1.0067575503543968,6.528767642862443e-6,NEG_CTL -1
Control_067,GSK,0,1.9231153974601147,6.528767642862443e-6,NEG_CTL -1
Control_067,GSK,1,2.463520835914711,3.380811004621569e-6,NEG_CTL -1
Control_067,GSK,2,-0.8900266609587707,4.599390941757913e-6,NEG_CTL -1
Control_067,GSK,3,1.4467784761072502,1.1606100982207848e-5,NEG_CTL -1
